license_type_id,state_code,statut_actuel,sellable_oui_non,source_url,verified_by,note
lcsw,CA,DÉJÀ-MARQUÉ-HARNAIS,,,,
licensed_psychologist,CA,DÉJÀ-MARQUÉ-HARNAIS,,,,
lmft,CA,DÉJÀ-MARQUÉ-HARNAIS,,,,
lpcc,CA,DÉJÀ-MARQUÉ-HARNAIS,,,,
lcsw,AK,,,,,
licensed_psychologist,AK,,,,,
lmft,AK,,,,,
lpc,AK,,,,,
lcsw,AL,,,,,
licensed_psychologist,AL,,,,,
licsw,AL,,,,,
lmft,AL,,,,,
lmsw,AL,,,,,
lpc,AL,,,,,
lcsw,AR,,,,,
licensed_psychologist,AR,,,,,
lmft,AR,,,,,
lmsw,AR,,,,,
lpc,AR,,,,,
lcsw,AZ,,,,,
licensed_psychologist,AZ,,,,,
lmft,AZ,,,,,
lpc,AZ,,,,,
lcsw,CO,,,,,
licensed_psychologist,CO,,,,,
lmft,CO,,,,,
lpc,CO,,,,,
lcsw,CT,,,,,
licensed_psychologist,CT,,,,,
lmft,CT,,,,,
lpc,CT,,,,,
lcsw,DC,,,,,
licensed_psychologist,DC,,,,,
licsw,DC,,,,,
lmft,DC,,,,,
lpc,DC,,,,,
lcsw,DE,,,,,
licensed_psychologist,DE,,,,,
lmft,DE,,,,,
lpc,DE,,,,,
lcsw,FL,,,,,
licensed_psychologist,FL,,,,,
lmft,FL,,,,,
lmhc,FL,,,,,
lcsw,GA,,,,,
licensed_psychologist,GA,,,,,
lmft,GA,,,,,
lmsw,GA,,,,,
lpc,GA,,,,,
lcsw,HI,,,,,
licensed_psychologist,HI,,,,,
lmft,HI,,,,,
lpc,HI,,,,,
lcsw,IA,,,,,
licensed_psychologist,IA,,,,,
lmft,IA,,,,,
lmhc,IA,,,,,
lmsw,IA,,,,,
lcpc,ID,,,,,
lcsw,ID,,,,,
licensed_psychologist,ID,,,,,
lmft,ID,,,,,
lcpc,IL,,,,,
lcsw,IL,,,,,
licensed_psychologist,IL,,,,,
lmft,IL,,,,,
lpc,IL,,,,,
lcsw,IN,,,,,
licensed_psychologist,IN,,,,,
lmft,IN,,,,,
lpc,IN,,,,,
lcpc,KS,,,,,
lcsw,KS,,,,,
licensed_psychologist,KS,,,,,
lmft,KS,,,,,
lmsw,KS,,,,,
lcsw,KY,,,,,
licensed_psychologist,KY,,,,,
lmft,KY,,,,,
lmsw,KY,,,,,
lpc,KY,,,,,
lpcc,KY,,,,,
lcsw,LA,,,,,
licensed_psychologist,LA,,,,,
lmft,LA,,,,,
lmsw,LA,,,,,
lpc,LA,,,,,
lcsw,MA,,,,,
licensed_psychologist,MA,,,,,
licsw,MA,,,,,
lmft,MA,,,,,
lmhc,MA,,,,,
lcpc,MD,,,,,
lcsw,MD,,,,,
licensed_psychologist,MD,,,,,
lmft,MD,,,,,
lcpc,ME,,,,,
lcsw,ME,,,,,
licensed_psychologist,ME,,,,,
lmft,ME,,,,,
lmhc,ME,,,,,
lcsw,MI,,,,,
licensed_psychologist,MI,,,,,
lmft,MI,,,,,
lmsw,MI,,,,,
lpc,MI,,,,,
lcsw,MN,,,,,
licensed_psychologist,MN,,,,,
licsw,MN,,,,,
lmft,MN,,,,,
lpc,MN,,,,,
lpcc,MN,,,,,
lcsw,MO,,,,,
licensed_psychologist,MO,,,,,
lmft,MO,,,,,
lpc,MO,,,,,
lcsw,MS,,,,,
licensed_psychologist,MS,,,,,
lmft,MS,,,,,
lmsw,MS,,,,,
lpc,MS,,,,,
lcpc,MT,,,,,
lcsw,MT,,,,,
licensed_psychologist,MT,,,,,
lmft,MT,,,,,
lmsw,MT,,,,,
lpc,MT,,,,,
lcsw,NC,,,,,
licensed_psychologist,NC,,,,,
lmft,NC,,,,,
lpc,NC,,,,,
lcsw,ND,,,,,
licensed_psychologist,ND,,,,,
lmft,ND,,,,,
lmsw,ND,,,,,
lpc,ND,,,,,
lcsw,NE,,,,,
licensed_psychologist,NE,,,,,
lmft,NE,,,,,
lmsw,NE,,,,,
lpc,NE,,,,,
lcsw,NH,,,,,
licensed_psychologist,NH,,,,,
licsw,NH,,,,,
lmft,NH,,,,,
lpc,NH,,,,,
lcsw,NJ,,,,,
licensed_psychologist,NJ,,,,,
lmft,NJ,,,,,
lpc,NJ,,,,,
lcsw,NM,,,,,
licensed_psychologist,NM,,,,,
lmft,NM,,,,,
lmsw,NM,,,,,
lpc,NM,,,,,
lpcc,NM,,,,,
lcsw,NV,,,,,
licensed_psychologist,NV,,,,,
lmft,NV,,,,,
lpc,NV,,,,,
lcsw,NY,,,,,
licensed_psychologist,NY,,,,,
lmft,NY,,,,,
lmhc,NY,,,,,
lmsw,NY,,,,,
lcsw,OH,,,,,
licensed_psychologist,OH,,,,,
lmft,OH,,,,,
lpc,OH,,,,,
lpcc,OH,,,,,
lcsw,OK,,,,,
licensed_psychologist,OK,,,,,
lmft,OK,,,,,
lmsw,OK,,,,,
lpc,OK,,,,,
lcsw,OR,,,,,
licensed_psychologist,OR,,,,,
lmft,OR,,,,,
lpc,OR,,,,,
lcsw,PA,,,,,
licensed_psychologist,PA,,,,,
lmft,PA,,,,,
lpc,PA,,,,,
lsw,PA,,,,,
lcsw,RI,,,,,
licensed_psychologist,RI,,,,,
licsw,RI,,,,,
lmft,RI,,,,,
lmhc,RI,,,,,
lcsw,SC,,,,,
licensed_psychologist,SC,,,,,
lmft,SC,,,,,
lpc,SC,,,,,
lcsw,SD,,,,,
licensed_psychologist,SD,,,,,
lmft,SD,,,,,
lmsw,SD,,,,,
lpc,SD,,,,,
lcsw,TN,,,,,
licensed_psychologist,TN,,,,,
lmft,TN,,,,,
lmsw,TN,,,,,
lpc,TN,,,,,
lcsw,TX,,,,,
licensed_psychologist,TX,,,,,
lmft,TX,,,,,
lmsw,TX,,,,,
lpc,TX,,,,,
lcsw,UT,,,,,
licensed_psychologist,UT,,,,,
lmft,UT,,,,,
lpc,UT,,,,,
lcsw,VA,,,,,
licensed_psychologist,VA,,,,,
lmft,VA,,,,,
lmsw,VA,,,,,
lpc,VA,,,,,
lcsw,VT,,,,,
licensed_psychologist,VT,,,,,
licsw,VT,,,,,
lmft,VT,,,,,
lpc,VT,,,,,
lcsw,WA,,,,,
licensed_psychologist,WA,,,,,
licsw,WA,,,,,
lmft,WA,,,,,
lmhc,WA,,,,,
lcsw,WI,,,,,
licensed_psychologist,WI,,,,,
lmft,WI,,,,,
lpc,WI,,,,,
lcsw,WV,,,,,
licensed_psychologist,WV,,,,,
lmft,WV,,,,,
lmsw,WV,,,,,
lpc,WV,,,,,
lcsw,WY,,,,,
licensed_psychologist,WY,,,,,
lmft,WY,,,,,
lpc,WY,,,,,
